cell_id,lat,lon,crop_type,label,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,EVI_mean,EVI_std,EVI_min,EVI_max,SAVI_mean,SAVI_std,SAVI_min,SAVI_max,GNDVI_mean,GNDVI_std,GNDVI_min,GNDVI_max,CIgreen_mean,CIgreen_std,CIgreen_min,CIgreen_max,MCARI_mean,MCARI_std,MCARI_min,MCARI_max,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,MSI_mean,MSI_std,MSI_min,MSI_max,ARI_mean,ARI_std,ARI_min,ARI_max,SIPI_mean,SIPI_std,SIPI_min,SIPI_max,NDBI_mean,NDBI_std,NDBI_min,NDBI_max,temperature,humidity,pressure,windSpeed,precipitation
cell_1_65,30.9,75.8,0,0,0.13608576357364655,0.09488411992788315,-0.22126929461956024,0.33243486285209656,341372.875,27887394.0,-6195.0126953125,2924999936.0,0.20410504937171936,0.1423102617263794,-0.33189210295677185,0.49859628081321716,0.06313876062631607,0.08430211991071701,-0.40625253319740295,0.268952339887619,0.15108440816402435,0.1815934032201767,-0.5777803659439087,0.7357996702194214,798.1000366210938,604.06396484375,-2659.55859375,5480.138671875,-0.06313876062631607,0.08430211991071701,-0.268952339887619,0.40625253319740295,1.592026710510254,0.3979705572128296,0.487312376499176,2.8787505626678467,-6.59576544421725e-05,4.292237281333655e-05,-0.00021922698942944407,0.00012563724885694683,-265519.75,25293510.0,-9600000000.0,640000000.0,0.20880775153636932,0.1294310837984085,-0.3447074294090271,0.48437002301216125,28,60,1005,2,0
cell_1_66,30.9,75.8,0,0,0.13554269075393677,0.07841626554727554,-0.18477387726306915,0.35435372591018677,291125.59375,25322132.0,-6215.0126953125,3292499968.0,0.20329207181930542,0.11761079728603363,-0.2771506905555725,0.5314751267433167,0.07143975794315338,0.06685368716716766,-0.28872618079185486,0.32475316524505615,0.16460561752319336,0.14948229491710663,-0.4480799436569214,0.9618798494338989,830.88525390625,464.8167724609375,-1340.9417724609375,4673.712890625,-0.07143975794315338,0.06685368716716766,-0.32475316524505615,0.28872618079185486,1.5348917245864868,0.31606221199035645,0.5928459167480469,2.7702434062957764,-5.768081246060319e-05,3.595943780965172e-05,-0.00022057307069189847,9.361407137475908e-05,-214885.375,19543536.0,-3552000000.0,570000000.0,0.19844084978103638,0.10195184499025345,-0.2556142210960388,0.46953025460243225,28,60,1005,2,0
cell_1_67,30.9,75.8,0,0,0.2106265276670456,0.05800696089863777,-0.20766441524028778,0.35291165113449097,124914.59375,16383215.0,-5410.0107421875,2927500032.0,0.31590184569358826,0.08699881285429001,-0.311476469039917,0.5293010473251343,0.14083845913410187,0.04012524336576462,-0.2064315378665924,0.3198223114013672,0.33253416419029236,0.10057374089956284,-0.34221839904785156,0.9404081106185913,1212.0626220703125,393.83441162109375,-849.0599975585938,3529.8095703125,-0.14083845913410187,0.04012524336576462,-0.3198223114013672,0.2064315378665924,1.6932189464569092,0.2675377428531647,0.6306268572807312,2.7980997562408447,-8.266049553640187e-05,4.066443216288462e-05,-0.00021608930546790361,0.00023473138571716845,-6824.3818359375,3995190.0,-1868000000.0,588000000.0,0.24982745945453644,0.07686114311218262,-0.22652219235897064,0.4734208881855011,28,60,1005,2,0
cell_1_68,30.9,75.8,0,0,0.19758346676826477,0.06903740763664246,-0.2030075192451477,0.38527581095695496,146568.125,17754922.0,-6670.013671875,2912499968.0,0.29633983969688416,0.10354253649711609,-0.3044915497303009,0.5778517127037048,0.13456407189369202,0.05464137718081474,-0.2199062556028366,0.3372189700603485,0.3193695843219757,0.1334068775177002,-0.3605297803878784,1.0175879001617432,1131.0399169921875,441.4900817871094,-1057.273681640625,3596.675537109375,-0.13456407189369202,0.05464137718081474,-0.3372189700603485,0.2199062556028366,1.6361838579177856,0.28218966722488403,0.5770195722579956,3.2276194095611572,-7.291901420103386e-05,4.311929296818562e-05,-0.00026497303042560816,0.00015595450531691313,-59175.11328125,10746908.0,-2712000000.0,638000000.0,0.23244637250900269,0.0840383768081665,-0.2682150900363922,0.52692049741745,28,60,1005,2,0
cell_1_69,30.9,75.8,0,0,0.1592552810907364,0.07634846866130829,-0.16730037331581116,0.3687230944633484,98573.90625,13646293.0,-4650.00927734375,2862500096.0,0.23885546624660492,0.11450795829296112,-0.25093069672584534,0.5530279874801636,0.10686828196048737,0.06826501339673996,-0.25319692492485046,0.3245771825313568,0.2515946626663208,0.16117973625659943,-0.40408164262771606,0.9611082077026367,920.9374389648438,450.08905029296875,-870.5785522460938,3375.42578125,-0.10686828196048737,0.06826501339673996,-0.3245771825313568,0.25319692492485046,1.4879237413406372,0.2816276252269745,0.6594681143760681,2.756350040435791,-5.28683012817055e-05,4.0056227589957416e-05,-0.0002852227771654725,0.00028226576978340745,-124681.671875,15900562.0,-3064000000.0,676000000.0,0.18565236032009125,0.09333274513483047,-0.20520544052124023,0.4675682485103607,28,60,1005,2,0
cell_1_7,30.9,75.8,0,0,0.10391677170991898,0.08181329816579819,-0.25627315044403076,0.45034727454185486,251317.390625,22103436.0,-1482499968.0,3380000000.0,0.1558586210012436,0.12270523607730865,-0.3843899369239807,0.6754575371742249,0.06681929528713226,0.07065131515264511,-0.42151206731796265,0.5196319818496704,0.15541711449623108,0.16183988749980927,-0.5930474996566772,2.1634747982025146,674.526611328125,463.1010437011719,-1920.0650634765625,6868.609375,-0.06681929528713226,0.07065131515264511,-0.5196319818496704,0.42151206731796265,1.326097846031189,0.40718626976013184,0.36965030431747437,3.0975403785705566,-3.3902371797012165e-05,4.0111892303684726e-05,-0.0002679470635484904,0.00033669263939373195,-95187.6015625,15098208.0,-3040000000.0,2188000000.0,0.11433376371860504,0.15013746917247772,-0.46022674441337585,0.5119022727012634,28,60,1005,2,0
cell_1_70,30.9,75.8,0,0,0.12524399161338806,0.0713961273431778,-0.23537175357341766,0.38736215233802795,164180.5,18338450.0,-5680.01171875,3100000000.0,0.18784768879413605,0.10708069801330566,-0.3530382215976715,0.5809924006462097,0.07445478439331055,0.07257963716983795,-0.2987454831600189,0.4185185134410858,0.17431657016277313,0.17192323505878448,-0.46005237102508545,1.439490556716919,837.7460327148438,411.2950134277344,-1519.72021484375,4135.107421875,-0.07445478439331055,0.07257963716983795,-0.4185185134410858,0.2987454831600189,1.3398619890213013,0.2616903483867645,0.547969400882721,2.8773322105407715,-3.97436560888309e-05,3.8629190385108814e-05,-0.0003215918259229511,0.00028859247686341405,-121610.3671875,16298574.0,-3808000000.0,756000000.0,0.135234534740448,0.09053342789411545,-0.2920151948928833,0.4841814339160919,28,60,1005,2,0
cell_1_71,30.9,75.8,0,0,-0.858911395072937,0.37009763717651367,-1.0,0.32884347438812256,20623.521484375,5820780.5,-3157.503173828125,2195000064.0,-1.288172960281372,0.5550668835639954,-1.499776005744934,0.4932079315185547,-0.8652303218841553,0.3537770211696625,-1.0,0.3539007008075714,-0.8554105758666992,0.3824714124202728,-1.0,1.0954995155334473,97.10929107666016,279.686767578125,-1051.0015869140625,2814.833740234375,0.8652303218841553,0.3537770211696625,-0.3539007008075714,1.0,4329168896.0,1652571008.0,0.5052945017814636,4960000000.0,-2.710928129090462e-05,1.2527198123279959e-05,-0.0002899394603446126,0.0002325683308299631,-2004.91162109375,2063199.5,-2122000000.0,3769.00390625,0.8870631456375122,0.29708331823349,-0.32864364981651306,1.0,28,60,1005,2,0
cell_1_72,30.9,75.8,0,0,0.17158161103725433,0.04454946890473366,-0.11545049399137497,0.31127357482910156,1027521.0,46363816.0,-5725.01171875,3207500032.0,0.2573434114456177,0.06681644916534424,-0.17316585779190063,0.4668654203414917,0.10675085335969925,0.02952163852751255,-0.12961770594120026,0.2747642993927002,0.24137277901172638,0.0714133232831955,-0.2294895052909851,0.7577241659164429,977.1170654296875,328.2339782714844,-710.5258178710938,3012.977783203125,-0.10675085335969925,0.02952163852751255,-0.2747642993927002,0.12961770594120026,1.5287535190582275,0.20952796936035156,0.7653345465660095,2.4574639797210693,-6.835968815721571e-05,2.9384589652181603e-05,-0.00017575055244378746,0.000110482273157686,-1092.411865234375,953776.5,-692000000.0,200000000.0,0.2037593573331833,0.06483206152915955,-0.1329297125339508,0.42154133319854736,28,60,1005,2,0
cell_1_73,30.9,75.8,0,0,0.14123067259788513,0.05027986690402031,-0.21895486116409302,0.30784279108047485,600969.6875,34103540.0,-5885.01171875,3527500032.0,0.2118229866027832,0.0754103884100914,-0.3284169137477875,0.46172308921813965,0.08572711795568466,0.03801796957850456,-0.2263684868812561,0.3535216152667999,0.19118942320346832,0.08814709633588791,-0.369168758392334,1.093684196472168,804.5955810546875,298.7339172363281,-1230.23974609375,3051.927978515625,-0.08572711795568466,0.03801796957850456,-0.3535216152667999,0.2263684868812561,1.4880306720733643,0.2229674905538559,0.6676722168922424,2.3979058265686035,-5.4669439123244956e-05,2.843931724783033e-05,-0.00020394742023199797,0.00011040084064006805,-8335.5595703125,2414121.75,-1248000000.0,212000000.0,0.18954285979270935,0.07425656169652939,-0.19927644729614258,0.41140216588974,28,60,1005,2,0
