cell_id,label,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,EVI_mean,EVI_std,EVI_min,EVI_max,SAVI_mean,SAVI_std,SAVI_min,SAVI_max,GNDVI_mean,GNDVI_std,GNDVI_min,GNDVI_max,CIgreen_mean,CIgreen_std,CIgreen_min,CIgreen_max,MCARI_mean,MCARI_std,MCARI_min,MCARI_max,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,MSI_mean,MSI_std,MSI_min,MSI_max,ARI_mean,ARI_std,ARI_min,ARI_max,SIPI_mean,SIPI_std,SIPI_min,SIPI_max,NDBI_mean,NDBI_std,NDBI_min,NDBI_max,temperature,humidity,pressure,windSpeed,precipitation
cell_1_43,2,3.0912616736133414,5.530067930312941,0.0,24.262495363101632,23.866150676639226,4346.697434272427,-54606.68486889496,327489.3450213099,4.636431979634762,8.29408478655015,0.0,36.387007204742915,4.442265726303507,5.803273866074172,0.0,24.281215255916557,0.007847397650859518,0.08614174440273056,-0.36385688315225684,0.8271889390396376,13919.784037398378,27177.57309167286,-14337.591069985023,65519.29630499536,4.968005414449811,6.2303025738342255,0.0,24.25314580893666,1.0026904304385647,0.06538026599207601,0.617100371594275,1.4331197434054626,6.860411532135413e-07,1.793508864690354e-05,-0.00011634218208129635,0.0001505049513150888,10420980913.5445,23875222503.361153,0.0,65535000000.0,4.456528850052202,5.866369136496679,0.0,24.225877994740895,28,50,1005,2,0
cell_1_44,0,4.55458426510019,7.287193977545106,0.0,23.22899680140766,-73.20278263906835,2164.369010258124,-163647.66364766366,5845.178362672201,6.831029967245166,10.92931983681813,0.0,34.83732056181559,6.880648314662456,7.603125783058436,0.0,23.220411047760308,0.005700281205991062,0.08286986578491055,-0.4063904145266125,0.7620895517128092,13429.440293019003,27460.298472416063,-13743.16097238669,65496.519215085566,7.048187341932517,7.627209721085646,0.0,23.28429281333181,1.0037184557441123,0.04742446788701218,0.7145911275482119,1.3245901635001345,3.6353019211416197e-07,1.9053957638036678e-05,-0.00014065874461930436,0.0001143493730162201,11766270563.822676,25111654430.125023,0.0,65535000000.0,6.627945545946822,7.616464767889339,0.0,22.91188810387696,28,50,1005,2,0
cell_1_45,2,5.598772040709669,7.264319383398647,0.0,23.453829626537644,26897988.096957054,2097872441.857048,-13640.41780336815,163647500000.0,8.39719313915155,10.895040450452393,0.0,35.17444979954394,5.592454617152177,7.227557029699641,0.0,23.40142856307092,0.01649115410553653,0.09840590618218437,-0.3757225434770336,0.9275618366044338,22404.295541235173,26864.104882304866,-14201.26315364795,65492.9364149596,6.097565642889712,6.94741371021531,0.0,23.080309960168965,1.0062682086005508,0.0541509513482322,0.7145557654266173,2.499999998729675,9.609525864076566e-07,1.647061996308877e-05,-0.00012048653840912761,0.00013324453987122907,302577472.0139522,4430005779.504861,0.0,65535000000.0,3.984292644456002,6.887982212663471,0.0,23.02319043463697,28,50,1005,2,0
cell_1_46,0,6.863064287398207,7.8611164129160445,0.0,24.266666657679014,-46.35422819802482,5054.589015390721,-163835.16383516384,327569.34486131027,10.293348150462052,11.790039181553862,0.0,36.39326049383697,7.1222994297675415,7.979907407287453,0.0,24.280207552157076,0.003121291117573375,0.07237368995450008,-0.3894378747141686,0.8810252479414595,24958.71881833317,27732.061328859832,-14628.221372326872,65508.58496902325,6.7887460837852265,7.851046948580245,0.0,23.86630235924725,1.0003388930002903,0.04335217741745536,0.6023825965810803,1.4566160512708155,-2.9720845195984656e-07,1.633536017646152e-05,-9.694745127157865e-05,0.00014080981273180014,516268397.8558504,5786848670.816804,0.0,65534000000.0,4.595873471701237,7.4981190644311475,0.0,23.83666787055778,28,50,1005,2,0
cell_1_47,0,7.4468437006825114,7.987761678704305,0.0,25.434006201306676,-56.72555250764619,653.9917983607726,-32766.00655320131,21783.663762178163,11.168898237996013,11.979943045349971,0.0,38.14360565179756,7.417895685253061,7.945976335924294,0.0,25.518691578847864,-0.00026928875009187686,0.08903316742385885,-0.4099233391375803,0.5988559164823541,26317.792992830466,27016.173533016667,-13925.379447513127,65501.112690086295,6.442936505634833,7.716654160738321,0.0,25.004580143128024,0.9985316989605636,0.04382354995724268,0.7257142855886208,1.3062730622486078,-2.852867716996134e-07,1.8134614204720446e-05,-0.00012395762891827077,9.187609842005332e-05,506348366.79779744,5730332510.240759,0.0,65534000000.0,5.171214344257019,7.827745644166948,0.0,25.636932697325143,28,50,1005,2,0
cell_1_48,0,5.060911363385926,8.006914991351033,0.0,24.9353120148648,-46.15216122402015,682.1899390969481,-27250.837875139645,32755.99344880131,7.590339186222733,12.008593038227241,0.0,37.39585313395631,7.039574021893494,8.262212495390962,0.0,24.955064727739884,0.0076180861307533826,0.07038949725612018,-0.4414951247449904,0.5781249994395863,14688.389457225188,27766.39639774727,-13729.27490597062,65506.700012474976,7.22698295663235,7.981704738741396,0.0,24.92772916510927,1.003048028675052,0.04427656625839826,0.7132838282357087,1.4295981700654694,4.972300510156891e-07,1.7528417754186945e-05,-8.603203247499545e-05,9.701003892634681e-05,10146671684.961979,23655321853.462555,0.0,65535000000.0,7.273579857996037,8.32199806243584,0.0,24.665035745327426,28,50,1005,2,0
cell_1_49,0,5.400848771303408,8.100259913401304,0.0,22.834785631636535,-36.861501385329554,762.182604585132,-19256.766971384346,40937.48976562756,8.100186713373231,12.148648844389777,0.0,34.24621012920502,7.903940388997482,8.29642694949509,0.0,22.78233657065983,0.0038219172032230376,0.0962797745338849,-0.5378486056927667,1.456605858232943,14400.29424444278,27847.009069444495,-14081.612607246992,65510.12422281039,7.502391490900408,8.17208337745273,0.0,22.64327686738912,1.0038256263972072,0.06006870915281543,0.6611570245982418,1.483999999258,-7.073503109725401e-07,2.2466037253989073e-05,-0.00019590691212399963,0.00019691971126778668,11310027435.697815,24729627760.150013,0.0,65535000000.0,7.464812363818832,8.191179850582063,0.0,23.051372264936184,28,50,1005,2,0
cell_1_5,2,3.6311684411794194,6.41263423722866,0.0,24.36705093924617,50.10016452620715,3618.412942442489,-7798.095609433125,163759.83624016377,5.446129531604062,9.617648635531738,0.0,36.54378135841466,5.49121403302708,6.80694244617336,0.0,24.45223879684618,0.00801900022990099,0.09181681661354252,-0.35418295568640223,0.6880811489061365,13372.229683154203,26823.533467756097,-14280.952776441422,65492.3368000691,6.018219132760804,7.202498785821629,0.0,24.729709314937825,1.0066042280338634,0.05573870838996218,0.7559105428894854,1.593008738578961,1.1381474580243185e-06,2.0761727590448607e-05,-0.00012414601277790411,0.00012740965033435048,11336122545.96382,24719159609.047268,0.0,65535000000.0,5.36741335880947,6.957641631907218,0.0,24.424524776584224,28,50,1005,2,0
cell_1_50,0,5.30634696991773,7.89765465693179,0.0,22.94537814322641,-47.68341596933027,359.50506968161835,-11697.857978418426,9636.322962569237,7.958482944000965,11.844817422750396,0.0,34.41204269756274,7.375320269476839,8.052130756219324,0.0,22.574086828885566,0.00321130365721265,0.07840992865407218,-0.4499696787042714,0.6870036094992766,15135.147827255607,28234.52451774787,-13561.307361142754,65503.754150224966,7.8703081155123105,8.325147022316894,0.0,22.516151195011634,0.9993882606313387,0.0470322932429047,0.7305439329015598,1.361702126854786,1.3940762448265821e-06,1.9797230274160804e-05,-9.90242163222699e-05,0.00012181738354141074,11110282726.991446,24554053896.46992,0.0,65535000000.0,7.6962712565934055,8.095061931841279,0.0,23.002105994032256,28,50,1005,2,0
cell_1_51,0,2.2651777061461456,5.658650747030331,0.0,22.3360599787539,-25.550342358293403,124.92364107265881,-4813.235435683395,4200.384507682449,3.3973407591802474,8.486851934057267,0.0,33.49838131419377,2.288606354853566,5.686210749043737,0.0,22.16102840928247,-0.22302845944744598,0.4196046176568752,-1.0,0.5264976952663221,7523.075676992465,19127.459238405074,-13606.97220094598,65506.34380848738,2.6790481197564784,6.049743639320478,0.0,22.420458425446302,0.7767846913350744,0.4189373288970102,0.0,1.2279704370506137,4.044782780607846e-08,5.472871786017066e-06,-5.8532611130499425e-05,7.005283498089695e-05,214762871.58340594,3743501167.8542233,0.0,65531000000.0,1.5911364006426054,4.991263406783799,0.0,22.438356156699193,28,50,1005,2,0
